"Date","Home","HG","HxGt","HxGp","Away","AG","AxGt","AxGp","GD","xGDt","xGDp","Final","HxPts","AxPts"
2019-07-13,"DCU",2,1.82,1.82,"NER",2,0.98,1.03,0,0.84,0.79,0,1.99,0.81
2019-07-13,"HOU",1,1.25,1.27,"LAFC",3,1.13,1.13,-2,0.12,0.14,-2,1.48,1.27
2019-07-13,"LAG",1,0.66,0.66,"SJE",3,1.99,2.03,-2,-1.33,-1.37,-2,0.51,2.28
2019-07-07,"ATL",3,0.96,1.5,"NYRB",3,1,1,0,-0.03,0.5,0,1.31,1.39
2019-07-07,"CIN",3,1.13,1.13,"HOU",1,1.73,2.27,2,-0.6,-1.14,1,0.93,1.83
2019-07-07,"CLB",1,1.22,1.75,"SEA",2,1.16,1.69,-1,0.06,0.06,-1,1.41,1.3
2019-07-07,"LAFC",5,2.72,2.82,"VAN",1,0.29,0.31,4,2.42,2.51,5,2.77,0.13
2019-07-07,"MTL",2,0.94,0.94,"MIN",3,0.97,1.51,-1,-0.03,-0.56,-1,1.3,1.27
2019-07-07,"NYC",0,1.33,1.33,"POR",1,0.68,0.68,-1,0.65,0.65,-1,1.91,0.83
2019-07-07,"PHI",2,1.55,1.55,"ORL",2,1.37,1.4,0,0.18,0.15,0,1.48,1.3
2019-07-07,"SJE",1,0.97,0.97,"RSL",0,1.04,1.05,1,-0.07,-0.08,1,1.25,1.41
2019-07-07,"SKC",1,1.88,1.88,"CHI",0,0.35,0.35,1,1.53,1.53,1,2.53,0.3
2019-07-05,"COL",1,2.1,2.1,"NER",2,0.97,0.98,-1,1.12,1.12,-1,2.17,0.62
2019-07-05,"FCD",2,2.65,2.71,"DCU",0,0.52,0.52,2,2.14,2.2,2,2.73,0.18
2019-07-05,"LAG",2,1.15,1.16,"TOR",0,0.95,0.95,2,0.2,0.21,2,1.49,1.19
2019-07-04,"CHI",5,2.8,3.44,"ATL",1,0.35,0.89,4,2.45,2.55,4,2.8,0.13
2019-07-04,"HOU",4,1.66,1.66,"NYRB",0,0.68,0.69,4,0.98,0.97,4,2.19,0.59
2019-07-04,"MIN",3,1.58,1.58,"SJE",1,2.16,2.18,2,-0.58,-0.6,2,0.98,1.77
2019-07-04,"NYC",3,1.99,2.12,"SEA",0,0.63,0.63,3,1.36,1.49,3,2.4,0.4
2019-07-04,"ORL",1,1.44,1.44,"PHI",3,1.92,1.93,-2,-0.48,-0.49,-2,1.11,1.67
2019-07-04,"RSL",1,1.09,1.09,"CLB",0,0.71,0.71,1,0.39,0.39,1,1.69,1
2019-07-04,"SKC",1,3.39,4.02,"LAFC",5,1.71,1.71,-4,1.68,2.3,-4,2.34,0.5
2019-07-01,"POR",1,1.13,1.13,"FCD",0,1.62,1.62,1,-0.49,-0.49,1,0.96,1.79
2019-06-30,"CLB",0,1.25,1.25,"ORL",2,0.26,0.26,-2,0.99,0.99,-2,2.36,0.45
2019-06-30,"DCU",1,0.89,1.43,"TOR",1,1.25,1.32,0,-0.36,0.11,0,1.01,1.67
2019-06-30,"NER",2,2.41,2.43,"HOU",1,0.84,0.84,1,1.57,1.58,1,2.39,0.43
2019-06-30,"NYC",4,1.94,3.01,"PHI",2,0.75,0.75,2,1.19,2.26,2,2.31,0.55
2019-06-30,"RSL",2,1.41,1.43,"SKC",0,0.54,0.54,2,0.87,0.89,2,2.1,0.61
2019-06-30,"SEA",1,1.47,1.47,"VAN",0,0.92,0.92,1,0.55,0.56,1,1.77,0.98
2019-06-30,"SJE",3,1.39,1.39,"LAG",0,0.96,0.96,3,0.43,0.43,3,1.66,1.03
2019-06-29,"ATL",2,1.35,1.38,"MTL",1,1.31,1.33,1,0.04,0.05,1,1.36,1.32
2019-06-29,"COL",1,0.46,0.46,"LAFC",0,0.87,0.87,1,-0.41,-0.41,1,0.9,1.67
2019-06-29,"MIN",7,3.64,3.65,"CIN",1,0.39,0.39,6,3.24,3.26,6,2.94,0.03
2019-06-29,"NYRB",3,1.22,1.22,"CHI",1,2.87,2.88,2,-1.65,-1.66,2,0.48,2.36
2019-06-27,"DCU",1,0.78,0.78,"ORL",0,1.54,1.65,1,-0.77,-0.87,1,0.76,1.96
2019-06-27,"FCD",2,1.97,1.97,"VAN",2,0.81,0.81,0,1.16,1.15,0,2.21,0.61
2019-06-27,"MTL",2,1.03,1.03,"POR",1,1.56,1.56,1,-0.52,-0.52,1,0.87,1.86
2019-06-27,"NER",1,1.19,1.19,"PHI",1,1.7,1.7,0,-0.51,-0.51,0,0.94,1.82
2019-06-27,"SJE",2,1.88,1.88,"HOU",0,0.8,0.8,2,1.08,1.08,2,2.14,0.64
2019-06-27,"TOR",3,1.87,2.41,"ATL",2,1.75,2.82,1,0.12,-0.41,1,1.47,1.32
2019-06-23,"CHI",1,0.29,0.29,"RSL",1,0.57,1.1,0,-0.27,-0.81,0,0.92,1.55
2019-06-23,"CIN",0,0.55,0.55,"LAG",2,1.85,2.1,-2,-1.29,-1.55,-2,0.45,2.33
2019-06-23,"CLB",0,0.79,0.79,"SKC",1,1.89,1.91,-1,-1.1,-1.12,-1,0.55,2.21
2019-06-23,"FCD",3,2.78,3.06,"TOR",0,0.61,0.61,3,2.16,2.44,3,2.73,0.19
2019-06-23,"POR",4,2.53,3.17,"HOU",0,0.58,0.59,4,1.96,2.58,4,2.59,0.27
2019-06-23,"VAN",2,2.09,2.67,"COL",2,1.66,1.72,0,0.42,0.95,0,1.67,1.1
2019-06-09,"COL",1,0.54,0.54,"MIN",0,0.73,0.73,1,-0.19,-0.19,1,1.12,1.52
2019-06-09,"PHI",3,1.96,2.52,"NYRB",2,0.87,0.87,1,1.1,1.66,1,2.18,0.65
2019-06-08,"SJE",2,1.15,1.15,"FCD",1,0.63,0.63,1,0.52,0.51,0,1.81,0.88
2019-06-08,"TOR",2,2.34,2.38,"SKC",2,0.82,1.9,0,1.51,0.48,0,2.44,0.4
2019-06-07,"NYC",5,3.3,3.3,"CIN",0,1.33,1.33,5,1.96,1.96,3,2.58,0.35
2019-06-06,"MTL",2,0.89,1.43,"SEA",1,0.28,0.82,1,0.61,0.61,1,1.89,0.7
2019-06-03,"LAG",1,1.65,1.66,"NER",2,1.59,1.63,-1,0.06,0.03,-1,1.43,1.35
2019-06-02,"CLB",2,1.12,1.66,"NYC",2,0.85,0.85,0,0.28,0.81,0,1.6,1.11
2019-06-02,"COL",3,2.14,2.18,"CIN",1,1.12,1.12,2,1.02,1.06,2,2.08,0.68
2019-06-02,"DCU",1,0.95,0.97,"SJE",1,1.79,1.81,0,-0.83,-0.84,0,0.79,1.94
2019-06-02,"FCD",0,0.69,0.69,"SEA",1,0.19,0.19,-1,0.5,0.5,1,1.82,0.75
2019-06-02,"HOU",1,1.24,1.27,"SKC",1,0.22,0.22,0,1.02,1.05,0,2.25,0.48
2019-06-02,"MIN",2,2.49,2.59,"PHI",3,1.69,2.23,-1,0.79,0.36,-1,1.89,0.96
2019-06-02,"NYRB",3,1.57,1.6,"RSL",0,0.43,0.44,3,1.14,1.16,4,2.24,0.5
2019-06-02,"POR",2,2.15,2.22,"LAFC",3,1.8,1.81,-1,0.34,0.41,-1,1.63,1.14
2019-06-01,"ATL",2,0.98,0.98,"CHI",0,1.26,1.26,2,-0.27,-0.27,2,1.07,1.6
